"region","zone","language","residence","sex","population"
"somali","jijiga","keffagna","urban","m",12
"somali","jijiga","kembatigna","urban","m",19
"somali","jijiga","kontigna","urban","m",10
"somali","jijiga","komigna","urban","m",2
"somali","jijiga","konsogna","urban","m",1
"somali","jijiga","koregna","urban","m",4
"somali","jijiga","koygogna","urban","m",0
"somali","jijiga","koyrigna","urban","m",0
"somali","jijiga","kunamigna","urban","m",3
"somali","jijiga","karogna","urban","m",0
"somali","jijiga","kusumegna","urban","m",0
"somali","jijiga","maliegna","urban","m",30
"somali","jijiga","maogna","urban","m",5
"somali","jijiga","marekogna","urban","m",13
"somali","jijiga","mashiligna","urban","m",3
"somali","jijiga","merigna","urban","m",2
"somali","jijiga","me-enigna","urban","m",0
"somali","jijiga","messengogna","urban","m",7
"somali","jijiga","mejengerigna","urban","m",0
"somali","jijiga","mossigna","urban","m",1
"somali","jijiga","mursygna","urban","m",0
"somali","jijiga","murlegna","urban","m",3
"somali","jijiga","naogna","urban","m",0
"somali","jijiga","nuwerigna","urban","m",6
"somali","jijiga","nyangatomigna","urban","m",4
"somali","jijiga","oromigna","urban","m",3831
"somali","jijiga","oydigna","urban","m",15
"somali","jijiga","qebenigna","urban","m",23
"somali","jijiga","qechemigna","urban","m",1
"somali","jijiga","qewamigna","urban","m",0
"somali","jijiga","shekacho","urban","m",5
"somali","jijiga","shekogna","urban","m",3
"somali","jijiga","shinashigna","urban","m",0
"somali","jijiga","sidamigna","urban","m",32
"somali","jijiga","shitagna","urban","m",1259
"somali","jijiga","somaligna","urban","m",91549
"somali","jijiga","surmagna","urban","m",2
"somali","jijiga","shegna","urban","m",2
"somali","jijiga","shetagna","urban","m",0
"somali","jijiga","tigrigna","urban","m",379
"somali","jijiga","tembarogna","urban","m",0
"somali","jijiga","tsemayigna","urban","m",0
"somali","jijiga","upo","urban","m",0
"somali","jijiga","welaitigna","urban","m",48
"somali","jijiga","wergigna","urban","m",2
"somali","jijiga","yemsagna","urban","m",0
"somali","jijiga","zeysegna","urban","m",3
"somali","jijiga","zlmamigna","urban","m",7
"somali","jijiga","other.ethiopian.languages","urban","m",161
"somali","jijiga","english","urban","m",0
"somali","jijiga","other.foreign.languages","urban","m",3
"somali","degehabur","affarigna","urban","m",2
"somali","degehabur","agew-awinigigna","urban","m",0
"somali","degehabur","agew-kamyrnya","urban","m",3
"somali","degehabur","alabigna","urban","m",0
"somali","degehabur","amarigna","urban","m",235
"somali","degehabur","anyiwakgna","urban","m",1
"somali","degehabur","argobigna","urban","m",29
"somali","degehabur","arigna","urban","m",0
"somali","degehabur","arborigna","urban","m",0
"somali","degehabur","bachagna","urban","m",0
"somali","degehabur","basketigna","urban","m",0
"somali","degehabur","benchigna","urban","m",0
"somali","degehabur","bertagna","urban","m",0
"somali","degehabur","bodigna","urban","m",0
"somali","degehabur","brayligna","urban","m",0
"somali","degehabur","burjigna","urban","m",0
"somali","degehabur","benagna","urban","m",1
"somali","degehabur","charigna","urban","m",0
"somali","degehabur","dasenechgna","urban","m",0
"somali","degehabur","dawurogna","urban","m",0
"somali","degehabur","debosgna","urban","m",0
"somali","degehabur","derashigna","urban","m",0
"somali","degehabur","dimegna","urban","m",0
"somali","degehabur","dizigna","urban","m",0
"somali","degehabur","dongigna","urban","m",0
"somali","degehabur","demegna","urban","m",0
"somali","degehabur","felashigna","urban","m",0
"somali","degehabur","fedashigna","urban","m",0
"somali","degehabur","gamogna","urban","m",0
"somali","degehabur","gebatogna","urban","m",0
"somali","degehabur","gedeogna","urban","m",0
"somali","degehabur","gedichogna","urban","m",0
"somali","degehabur","gedoligna","urban","m",0
"somali","degehabur","goffigna","urban","m",0
"somali","degehabur","gumuzigna","urban","m",0
"somali","degehabur","guragiegna","urban","m",44
"somali","degehabur","guagugna","urban","m",0
"somali","degehabur","hadiyigna","urban","m",2
"somali","degehabur","hareriegna","urban","m",0
"somali","degehabur","hamerigna","urban","m",0
"somali","degehabur","irobigna","urban","m",0
"somali","degehabur","keffagna","urban","m",0
"somali","degehabur","kembatigna","urban","m",0
"somali","degehabur","kontigna","urban","m",3
"somali","degehabur","komigna","urban","m",0
"somali","degehabur","konsogna","urban","m",0
"somali","degehabur","koregna","urban","m",0
"somali","degehabur","koygogna","urban","m",0
"somali","degehabur","koyrigna","urban","m",0
"somali","degehabur","kunamigna","urban","m",0
"somali","degehabur","karogna","urban","m",0
"somali","degehabur","kusumegna","urban","m",0
"somali","degehabur","maliegna","urban","m",0
"somali","degehabur","maogna","urban","m",2
"somali","degehabur","marekogna","urban","m",1
"somali","degehabur","mashiligna","urban","m",0
"somali","degehabur","merigna","urban","m",0
"somali","degehabur","me-enigna","urban","m",0
"somali","degehabur","messengogna","urban","m",2
"somali","degehabur","mejengerigna","urban","m",0
"somali","degehabur","mossigna","urban","m",0
"somali","degehabur","mursygna","urban","m",0
"somali","degehabur","murlegna","urban","m",0
"somali","degehabur","naogna","urban","m",0
"somali","degehabur","nuwerigna","urban","m",0
"somali","degehabur","nyangatomigna","urban","m",1
"somali","degehabur","oromigna","urban","m",40
"somali","degehabur","oydigna","urban","m",0
"somali","degehabur","qebenigna","urban","m",0
"somali","degehabur","qechemigna","urban","m",0
"somali","degehabur","qewamigna","urban","m",0
"somali","degehabur","shekacho","urban","m",0
"somali","degehabur","shekogna","urban","m",0
"somali","degehabur","shinashigna","urban","m",0
"somali","degehabur","sidamigna","urban","m",20
"somali","degehabur","shitagna","urban","m",0
"somali","degehabur","somaligna","urban","m",33758
"somali","degehabur","surmagna","urban","m",0
"somali","degehabur","shegna","urban","m",0
"somali","degehabur","shetagna","urban","m",0
"somali","degehabur","tigrigna","urban","m",14
"somali","degehabur","tembarogna","urban","m",0
"somali","degehabur","tsemayigna","urban","m",0
"somali","degehabur","upo","urban","m",0
"somali","degehabur","welaitigna","urban","m",1
"somali","degehabur","wergigna","urban","m",0
"somali","degehabur","yemsagna","urban","m",0
"somali","degehabur","zeysegna","urban","m",0
"somali","degehabur","zlmamigna","urban","m",0
"somali","degehabur","other.ethiopian.languages","urban","m",57
"somali","degehabur","english","urban","m",0
"somali","degehabur","other.foreign.languages","urban","m",0
"somali","warder","affarigna","urban","m",1
"somali","warder","agew-awinigigna","urban","m",1
"somali","warder","agew-kamyrnya","urban","m",1
"somali","warder","alabigna","urban","m",1
"somali","warder","amarigna","urban","m",20
"somali","warder","anyiwakgna","urban","m",0
"somali","warder","argobigna","urban","m",3
"somali","warder","arigna","urban","m",0
"somali","warder","arborigna","urban","m",0
"somali","warder","bachagna","urban","m",0
"somali","warder","basketigna","urban","m",0
"somali","warder","benchigna","urban","m",0
"somali","warder","bertagna","urban","m",0
"somali","warder","bodigna","urban","m",0
"somali","warder","brayligna","urban","m",0
"somali","warder","burjigna","urban","m",0
"somali","warder","benagna","urban","m",0
"somali","warder","charigna","urban","m",0
"somali","warder","dasenechgna","urban","m",0
"somali","warder","dawurogna","urban","m",0
"somali","warder","debosgna","urban","m",0
"somali","warder","derashigna","urban","m",0
"somali","warder","dimegna","urban","m",0
"somali","warder","dizigna","urban","m",0
"somali","warder","dongigna","urban","m",0
"somali","warder","demegna","urban","m",0
"somali","warder","felashigna","urban","m",0
"somali","warder","fedashigna","urban","m",0
"somali","warder","gamogna","urban","m",0
"somali","warder","gebatogna","urban","m",0
"somali","warder","gedeogna","urban","m",0
"somali","warder","gedichogna","urban","m",0
"somali","warder","gedoligna","urban","m",0
"somali","warder","goffigna","urban","m",0
"somali","warder","gumuzigna","urban","m",0
