"region","zone","language","residence","sex","population"
"harari","region","messengogna","urban","f",14
"harari","region","mejengerigna","urban","f",0
"harari","region","mossigna","urban","f",0
"harari","region","mursygna","urban","f",2
"harari","region","murlegna","urban","f",2
"harari","region","naogna","urban","f",0
"harari","region","nuwerigna","urban","f",6
"harari","region","nyangatomigna","urban","f",2
"harari","region","oromigna","urban","f",11071
"harari","region","oydigna","urban","f",42
"harari","region","qebenigna","urban","f",5
"harari","region","qechemigna","urban","f",0
"harari","region","qewamigna","urban","f",0
"harari","region","shekacho","urban","f",0
"harari","region","shekogna","urban","f",0
"harari","region","shinashigna","urban","f",0
"harari","region","sidamigna","urban","f",7
"harari","region","shitagna","urban","f",42
"harari","region","somaligna","urban","f",3072
"harari","region","surmagna","urban","f",12
"harari","region","shegna","urban","f",0
"harari","region","shetagna","urban","f",0
"harari","region","tigrigna","urban","f",702
"harari","region","tembarogna","urban","f",1
"harari","region","tsemayigna","urban","f",0
"harari","region","upo","urban","f",0
"harari","region","welaitigna","urban","f",50
"harari","region","wergigna","urban","f",1
"harari","region","yemsagna","urban","f",1
"harari","region","zeysegna","urban","f",2
"harari","region","zlmamigna","urban","f",0
"harari","region","other.ethiopian.languages","urban","f",0
"harari","region","english","urban","f",1
"harari","region","other.foreign.languages","urban","f",18
"harari","region","affarigna","rural","m",1
"harari","region","agew-awinigigna","rural","m",0
"harari","region","agew-kamyrnya","rural","m",2
"harari","region","alabigna","rural","m",1
"harari","region","amarigna","rural","m",788
"harari","region","anyiwakgna","rural","m",11
"harari","region","argobigna","rural","m",17
"harari","region","arigna","rural","m",0
"harari","region","arborigna","rural","m",1
"harari","region","bachagna","rural","m",0
"harari","region","basketigna","rural","m",0
"harari","region","benchigna","rural","m",0
"harari","region","bertagna","rural","m",0
"harari","region","bodigna","rural","m",0
"harari","region","brayligna","rural","m",0
"harari","region","burjigna","rural","m",0
"harari","region","benagna","rural","m",1
"harari","region","charigna","rural","m",0
"harari","region","dasenechgna","rural","m",0
"harari","region","dawurogna","rural","m",0
"harari","region","debosgna","rural","m",0
"harari","region","derashigna","rural","m",0
"harari","region","dimegna","rural","m",0
"harari","region","dizigna","rural","m",0
"harari","region","dongigna","rural","m",0
"harari","region","demegna","rural","m",0
"harari","region","felashigna","rural","m",0
"harari","region","fedashigna","rural","m",0
"harari","region","gamogna","rural","m",1
"harari","region","gebatogna","rural","m",0
"harari","region","gedeogna","rural","m",0
"harari","region","gedichogna","rural","m",0
"harari","region","gedoligna","rural","m",0
"harari","region","goffigna","rural","m",0
"harari","region","gumuzigna","rural","m",0
"harari","region","guragiegna","rural","m",9
"harari","region","guagugna","rural","m",0
"harari","region","hadiyigna","rural","m",1
"harari","region","hareriegna","rural","m",610
"harari","region","hamerigna","rural","m",1
"harari","region","irobigna","rural","m",0
"harari","region","keffagna","rural","m",2
"harari","region","kembatigna","rural","m",1
"harari","region","kontigna","rural","m",0
"harari","region","komigna","rural","m",0
"harari","region","konsogna","rural","m",0
"harari","region","koregna","rural","m",0
"harari","region","koygogna","rural","m",0
"harari","region","koyrigna","rural","m",0
"harari","region","kunamigna","rural","m",0
"harari","region","karogna","rural","m",0
"harari","region","kusumegna","rural","m",0
"harari","region","maliegna","rural","m",0
"harari","region","maogna","rural","m",0
"harari","region","marekogna","rural","m",0
"harari","region","mashiligna","rural","m",2
"harari","region","merigna","rural","m",2
"harari","region","me-enigna","rural","m",0
"harari","region","messengogna","rural","m",1
"harari","region","mejengerigna","rural","m",0
"harari","region","mossigna","rural","m",0
"harari","region","mursygna","rural","m",3
"harari","region","murlegna","rural","m",0
"harari","region","naogna","rural","m",0
"harari","region","nuwerigna","rural","m",2
"harari","region","nyangatomigna","rural","m",9
"harari","region","oromigna","rural","m",40921
"harari","region","oydigna","rural","m",4
"harari","region","qebenigna","rural","m",16
"harari","region","qechemigna","rural","m",0
"harari","region","qewamigna","rural","m",0
"harari","region","shekacho","rural","m",0
"harari","region","shekogna","rural","m",0
"harari","region","shinashigna","rural","m",0
"harari","region","sidamigna","rural","m",0
"harari","region","shitagna","rural","m",6
"harari","region","somaligna","rural","m",142
