"region","zone","ethnic.group","residence","sex","population"
"dire.dawa","administration","goffa","urban","f",10
"dire.dawa","administration","gumuz","urban","f",62
"dire.dawa","administration","guragie","urban","f",7291
"dire.dawa","administration","guagu","urban","f",0
"dire.dawa","administration","hadiya","urban","f",756
"dire.dawa","administration","hareri","urban","f",1963
"dire.dawa","administration","hamer","urban","f",1
"dire.dawa","administration","irob","urban","f",18
"dire.dawa","administration","kefficho","urban","f",37
"dire.dawa","administration","kembata","urban","f",112
"dire.dawa","administration","konta","urban","f",5
"dire.dawa","administration","komo","urban","f",2
"dire.dawa","administration","konso","urban","f",3
"dire.dawa","administration","kore","urban","f",7
"dire.dawa","administration","koyego","urban","f",8
"dire.dawa","administration","kunama","urban","f",4
"dire.dawa","administration","karo","urban","f",2
"dire.dawa","administration","kusumie","urban","f",0
"dire.dawa","administration","malie","urban","f",188
"dire.dawa","administration","mao","urban","f",47
"dire.dawa","administration","mareko","urban","f",60
"dire.dawa","administration","mashola","urban","f",10
"dire.dawa","administration","mere","urban","f",15
"dire.dawa","administration","me-enite","urban","f",2
"dire.dawa","administration","messengo","urban","f",52
"dire.dawa","administration","mejenger","urban","f",6
"dire.dawa","administration","mossiye","urban","f",4
"dire.dawa","administration","mursi","urban","f",7
"dire.dawa","administration","murle","urban","f",16
"dire.dawa","administration","nao","urban","f",6
"dire.dawa","administration","nuwer","urban","f",14
"dire.dawa","administration","nyangatom","urban","f",24
"dire.dawa","administration","oromo","urban","f",38536
"dire.dawa","administration","oida","urban","f",14
"dire.dawa","administration","qebena","urban","f",269
"dire.dawa","administration","qechem","urban","f",1
"dire.dawa","administration","qewama","urban","f",1
"dire.dawa","administration","shekecho","urban","f",0
"dire.dawa","administration","sheko","urban","f",2
"dire.dawa","administration","shinasha","urban","f",0
"dire.dawa","administration","sidama","urban","f",36
"dire.dawa","administration","silte","urban","f",272
"dire.dawa","administration","somalie","urban","f",26211
"dire.dawa","administration","surma","urban","f",16
"dire.dawa","administration","she","urban","f",19
"dire.dawa","administration","tigrie","urban","f",1954
"dire.dawa","administration","timebaro","urban","f",3
"dire.dawa","administration","tsemay","urban","f",0
"dire.dawa","administration","upo","urban","f",2
"dire.dawa","administration","welaita","urban","f",159
"dire.dawa","administration","werji","urban","f",27
"dire.dawa","administration","yem","urban","f",4
"dire.dawa","administration","zeyese","urban","f",2
"dire.dawa","administration","zelmam","urban","f",1
"dire.dawa","administration","other.ethiopian.national","urban","f",47
"dire.dawa","administration","from.different.parents","urban","f",484
"dire.dawa","administration","eritrean","urban","f",93
"dire.dawa","administration","djiboutian","urban","f",95
"dire.dawa","administration","somalian","urban","f",52
"dire.dawa","administration","kenyan","urban","f",0
"dire.dawa","administration","sudanese","urban","f",34
"dire.dawa","administration","other.foreigners","urban","f",157
"dire.dawa","administration","affar","rural","m",0
"dire.dawa","administration","agew-awi","rural","m",0
"dire.dawa","administration","agew.hamyra","rural","m",0
"dire.dawa","administration","alaba","rural","m",2
"dire.dawa","administration","amhara","rural","m",151
"dire.dawa","administration","anyiwak","rural","m",6
"dire.dawa","administration","argoba","rural","m",15
"dire.dawa","administration","ari","rural","m",0
"dire.dawa","administration","arborie","rural","m",0
"dire.dawa","administration","bacha","rural","m",0
"dire.dawa","administration","basketo","rural","m",0
"dire.dawa","administration","bench","rural","m",0
"dire.dawa","administration","berta","rural","m",0
"dire.dawa","administration","bodi","rural","m",0
"dire.dawa","administration","brayle","rural","m",0
"dire.dawa","administration","burji","rural","m",0
"dire.dawa","administration","bena","rural","m",0
"dire.dawa","administration","chara","rural","m",0
"dire.dawa","administration","dasenech","rural","m",0
"dire.dawa","administration","dawuro","rural","m",0
"dire.dawa","administration","debase-gewada","rural","m",0
"dire.dawa","administration","derashe","rural","m",0
"dire.dawa","administration","dime","rural","m",0
