"region","zone","language","residence","sex","population"
"oromiya","east.wellega","derashigna","urban","m",0
"oromiya","east.wellega","dimegna","urban","m",0
"oromiya","east.wellega","dizigna","urban","m",1
"oromiya","east.wellega","dongigna","urban","m",4
"oromiya","east.wellega","demegna","urban","m",13
"oromiya","east.wellega","felashigna","urban","m",4
"oromiya","east.wellega","fedashigna","urban","m",0
"oromiya","east.wellega","gamogna","urban","m",2
"oromiya","east.wellega","gebatogna","urban","m",1
"oromiya","east.wellega","gedeogna","urban","m",0
"oromiya","east.wellega","gedichogna","urban","m",0
"oromiya","east.wellega","gedoligna","urban","m",0
"oromiya","east.wellega","goffigna","urban","m",0
"oromiya","east.wellega","gumuzigna","urban","m",2
"oromiya","east.wellega","guragiegna","urban","m",990
"oromiya","east.wellega","guagugna","urban","m",4
"oromiya","east.wellega","hadiyigna","urban","m",8
"oromiya","east.wellega","hareriegna","urban","m",0
"oromiya","east.wellega","hamerigna","urban","m",0
"oromiya","east.wellega","irobigna","urban","m",0
"oromiya","east.wellega","keffagna","urban","m",5
"oromiya","east.wellega","kembatigna","urban","m",20
"oromiya","east.wellega","kontigna","urban","m",0
"oromiya","east.wellega","komigna","urban","m",0
"oromiya","east.wellega","konsogna","urban","m",0
"oromiya","east.wellega","koregna","urban","m",3
"oromiya","east.wellega","koygogna","urban","m",0
"oromiya","east.wellega","koyrigna","urban","m",0
"oromiya","east.wellega","kunamigna","urban","m",0
"oromiya","east.wellega","karogna","urban","m",0
"oromiya","east.wellega","kusumegna","urban","m",0
"oromiya","east.wellega","maliegna","urban","m",11
"oromiya","east.wellega","maogna","urban","m",16
"oromiya","east.wellega","marekogna","urban","m",4
"oromiya","east.wellega","mashiligna","urban","m",4
"oromiya","east.wellega","merigna","urban","m",11
"oromiya","east.wellega","me-enigna","urban","m",0
"oromiya","east.wellega","messengogna","urban","m",7
"oromiya","east.wellega","mejengerigna","urban","m",0
"oromiya","east.wellega","mossigna","urban","m",1
"oromiya","east.wellega","mursygna","urban","m",1
"oromiya","east.wellega","murlegna","urban","m",1
"oromiya","east.wellega","naogna","urban","m",2
"oromiya","east.wellega","nuwerigna","urban","m",15
"oromiya","east.wellega","nyangatomigna","urban","m",11
"oromiya","east.wellega","oromigna","urban","m",69707
"oromiya","east.wellega","oydigna","urban","m",14
"oromiya","east.wellega","qebenigna","urban","m",5
"oromiya","east.wellega","qechemigna","urban","m",0
"oromiya","east.wellega","qewamigna","urban","m",0
"oromiya","east.wellega","shekacho","urban","m",1
"oromiya","east.wellega","shekogna","urban","m",0
"oromiya","east.wellega","shinashigna","urban","m",2
"oromiya","east.wellega","sidamigna","urban","m",4
"oromiya","east.wellega","shitagna","urban","m",202
"oromiya","east.wellega","somaligna","urban","m",9
"oromiya","east.wellega","surmagna","urban","m",1
"oromiya","east.wellega","shegna","urban","m",0
"oromiya","east.wellega","shetagna","urban","m",0
"oromiya","east.wellega","tigrigna","urban","m",369
"oromiya","east.wellega","tembarogna","urban","m",0
"oromiya","east.wellega","tsemayigna","urban","m",0
"oromiya","east.wellega","upo","urban","m",0
"oromiya","east.wellega","welaitigna","urban","m",26
"oromiya","east.wellega","wergigna","urban","m",0
"oromiya","east.wellega","yemsagna","urban","m",0
"oromiya","east.wellega","zeysegna","urban","m",9
"oromiya","east.wellega","zlmamigna","urban","m",0
"oromiya","east.wellega","other.ethiopian.languages","urban","m",0
"oromiya","east.wellega","english","urban","m",2
"oromiya","east.wellega","other.foreign.languages","urban","m",5
"oromiya","ilu.aba.bora","affarigna","urban","m",21
"oromiya","ilu.aba.bora","agew-awinigigna","urban","m",15
"oromiya","ilu.aba.bora","agew-kamyrnya","urban","m",43
"oromiya","ilu.aba.bora","alabigna","urban","m",4
"oromiya","ilu.aba.bora","amarigna","urban","m",10520
"oromiya","ilu.aba.bora","anyiwakgna","urban","m",47
"oromiya","ilu.aba.bora","argobigna","urban","m",47
"oromiya","ilu.aba.bora","arigna","urban","m",7
"oromiya","ilu.aba.bora","arborigna","urban","m",0
"oromiya","ilu.aba.bora","bachagna","urban","m",0
"oromiya","ilu.aba.bora","basketigna","urban","m",0
"oromiya","ilu.aba.bora","benchigna","urban","m",3
