"region","zone","language","residence","sex","population"
"addis.ababa","akaki.kaliti","debosgna","urban","m",2
"addis.ababa","akaki.kaliti","derashigna","urban","m",29
"addis.ababa","akaki.kaliti","dimegna","urban","m",0
"addis.ababa","akaki.kaliti","dizigna","urban","m",1
"addis.ababa","akaki.kaliti","dongigna","urban","m",2
"addis.ababa","akaki.kaliti","demegna","urban","m",3
"addis.ababa","akaki.kaliti","felashigna","urban","m",0
"addis.ababa","akaki.kaliti","fedashigna","urban","m",3
"addis.ababa","akaki.kaliti","gamogna","urban","m",71
"addis.ababa","akaki.kaliti","gebatogna","urban","m",3
"addis.ababa","akaki.kaliti","gedeogna","urban","m",11
"addis.ababa","akaki.kaliti","gedichogna","urban","m",8
"addis.ababa","akaki.kaliti","gedoligna","urban","m",2
"addis.ababa","akaki.kaliti","goffigna","urban","m",19
"addis.ababa","akaki.kaliti","gumuzigna","urban","m",8
"addis.ababa","akaki.kaliti","guragiegna","urban","m",3817
"addis.ababa","akaki.kaliti","guagugna","urban","m",28
"addis.ababa","akaki.kaliti","hadiyigna","urban","m",253
"addis.ababa","akaki.kaliti","hareriegna","urban","m",37
"addis.ababa","akaki.kaliti","hamerigna","urban","m",1
"addis.ababa","akaki.kaliti","irobigna","urban","m",3
"addis.ababa","akaki.kaliti","keffagna","urban","m",30
"addis.ababa","akaki.kaliti","kembatigna","urban","m",142
"addis.ababa","akaki.kaliti","kontigna","urban","m",0
"addis.ababa","akaki.kaliti","komigna","urban","m",16
"addis.ababa","akaki.kaliti","konsogna","urban","m",4
"addis.ababa","akaki.kaliti","koregna","urban","m",1
"addis.ababa","akaki.kaliti","koygogna","urban","m",1
"addis.ababa","akaki.kaliti","koyrigna","urban","m",2
"addis.ababa","akaki.kaliti","kunamigna","urban","m",10
"addis.ababa","akaki.kaliti","karogna","urban","m",1
"addis.ababa","akaki.kaliti","kusumegna","urban","m",3
"addis.ababa","akaki.kaliti","maliegna","urban","m",49
"addis.ababa","akaki.kaliti","maogna","urban","m",107
"addis.ababa","akaki.kaliti","marekogna","urban","m",27
"addis.ababa","akaki.kaliti","mashiligna","urban","m",8
"addis.ababa","akaki.kaliti","merigna","urban","m",10
"addis.ababa","akaki.kaliti","me-enigna","urban","m",0
"addis.ababa","akaki.kaliti","messengogna","urban","m",15
"addis.ababa","akaki.kaliti","mejengerigna","urban","m",0
"addis.ababa","akaki.kaliti","mossigna","urban","m",13
"addis.ababa","akaki.kaliti","mursygna","urban","m",0
"addis.ababa","akaki.kaliti","murlegna","urban","m",3
"addis.ababa","akaki.kaliti","naogna","urban","m",7
"addis.ababa","akaki.kaliti","nuwerigna","urban","m",24
"addis.ababa","akaki.kaliti","nyangatomigna","urban","m",4
"addis.ababa","akaki.kaliti","oromigna","urban","m",17092
"addis.ababa","akaki.kaliti","oydigna","urban","m",71
"addis.ababa","akaki.kaliti","qebenigna","urban","m",7
"addis.ababa","akaki.kaliti","qechemigna","urban","m",1
"addis.ababa","akaki.kaliti","qewamigna","urban","m",0
"addis.ababa","akaki.kaliti","shekacho","urban","m",2
"addis.ababa","akaki.kaliti","shekogna","urban","m",1
"addis.ababa","akaki.kaliti","shinashigna","urban","m",5
"addis.ababa","akaki.kaliti","sidamigna","urban","m",68
"addis.ababa","akaki.kaliti","shitagna","urban","m",1241
"addis.ababa","akaki.kaliti","somaligna","urban","m",68
"addis.ababa","akaki.kaliti","surmagna","urban","m",11
"addis.ababa","akaki.kaliti","shegna","urban","m",13
"addis.ababa","akaki.kaliti","shetagna","urban","m",0
"addis.ababa","akaki.kaliti","tigrigna","urban","m",3454
"addis.ababa","akaki.kaliti","tembarogna","urban","m",1
"addis.ababa","akaki.kaliti","tsemayigna","urban","m",0
"addis.ababa","akaki.kaliti","upo","urban","m",1
"addis.ababa","akaki.kaliti","welaitigna","urban","m",438
"addis.ababa","akaki.kaliti","wergigna","urban","m",7
"addis.ababa","akaki.kaliti","yemsagna","urban","m",9
"addis.ababa","akaki.kaliti","zeysegna","urban","m",4
"addis.ababa","akaki.kaliti","zlmamigna","urban","m",1
"addis.ababa","akaki.kaliti","other.ethiopian.languages","urban","m",238
"addis.ababa","akaki.kaliti","english","urban","m",20
"addis.ababa","akaki.kaliti","other.foreign.languages","urban","m",59
"addis.ababa","nefas.silk-lafto","affarigna","urban","m",93
"addis.ababa","nefas.silk-lafto","agew-awinigigna","urban","m",93
"addis.ababa","nefas.silk-lafto","agew-kamyrnya","urban","m",147
"addis.ababa","nefas.silk-lafto","alabigna","urban","m",166
"addis.ababa","nefas.silk-lafto","amarigna","urban","m",102002
"addis.ababa","nefas.silk-lafto","anyiwakgna","urban","m",159
"addis.ababa","nefas.silk-lafto","argobigna","urban","m",131
"addis.ababa","nefas.silk-lafto","arigna","urban","m",45
"addis.ababa","nefas.silk-lafto","arborigna","urban","m",11
"addis.ababa","nefas.silk-lafto","bachagna","urban","m",4
"addis.ababa","nefas.silk-lafto","basketigna","urban","m",0
"addis.ababa","nefas.silk-lafto","benchigna","urban","m",10
"addis.ababa","nefas.silk-lafto","bertagna","urban","m",47
"addis.ababa","nefas.silk-lafto","bodigna","urban","m",4
"addis.ababa","nefas.silk-lafto","brayligna","urban","m",6
"addis.ababa","nefas.silk-lafto","burjigna","urban","m",14
"addis.ababa","nefas.silk-lafto","benagna","urban","m",1
"addis.ababa","nefas.silk-lafto","charigna","urban","m",2
"addis.ababa","nefas.silk-lafto","dasenechgna","urban","m",4
"addis.ababa","nefas.silk-lafto","dawurogna","urban","m",33
"addis.ababa","nefas.silk-lafto","debosgna","urban","m",5
"addis.ababa","nefas.silk-lafto","derashigna","urban","m",20
"addis.ababa","nefas.silk-lafto","dimegna","urban","m",0
"addis.ababa","nefas.silk-lafto","dizigna","urban","m",5
"addis.ababa","nefas.silk-lafto","dongigna","urban","m",10
"addis.ababa","nefas.silk-lafto","demegna","urban","m",5
"addis.ababa","nefas.silk-lafto","felashigna","urban","m",5
"addis.ababa","nefas.silk-lafto","fedashigna","urban","m",4
"addis.ababa","nefas.silk-lafto","gamogna","urban","m",672
"addis.ababa","nefas.silk-lafto","gebatogna","urban","m",6
"addis.ababa","nefas.silk-lafto","gedeogna","urban","m",38
"addis.ababa","nefas.silk-lafto","gedichogna","urban","m",3
"addis.ababa","nefas.silk-lafto","gedoligna","urban","m",15
"addis.ababa","nefas.silk-lafto","goffigna","urban","m",27
"addis.ababa","nefas.silk-lafto","gumuzigna","urban","m",21
"addis.ababa","nefas.silk-lafto","guragiegna","urban","m",9436
"addis.ababa","nefas.silk-lafto","guagugna","urban","m",36
"addis.ababa","nefas.silk-lafto","hadiyigna","urban","m",937
"addis.ababa","nefas.silk-lafto","hareriegna","urban","m",702
"addis.ababa","nefas.silk-lafto","hamerigna","urban","m",2
"addis.ababa","nefas.silk-lafto","irobigna","urban","m",9
"addis.ababa","nefas.silk-lafto","keffagna","urban","m",81
"addis.ababa","nefas.silk-lafto","kembatigna","urban","m",260
"addis.ababa","nefas.silk-lafto","kontigna","urban","m",1
"addis.ababa","nefas.silk-lafto","komigna","urban","m",15
"addis.ababa","nefas.silk-lafto","konsogna","urban","m",11
"addis.ababa","nefas.silk-lafto","koregna","urban","m",10
"addis.ababa","nefas.silk-lafto","koygogna","urban","m",3
"addis.ababa","nefas.silk-lafto","koyrigna","urban","m",8
"addis.ababa","nefas.silk-lafto","kunamigna","urban","m",20
"addis.ababa","nefas.silk-lafto","karogna","urban","m",1
"addis.ababa","nefas.silk-lafto","kusumegna","urban","m",1
"addis.ababa","nefas.silk-lafto","maliegna","urban","m",117
"addis.ababa","nefas.silk-lafto","maogna","urban","m",154
"addis.ababa","nefas.silk-lafto","marekogna","urban","m",67
"addis.ababa","nefas.silk-lafto","mashiligna","urban","m",15
"addis.ababa","nefas.silk-lafto","merigna","urban","m",18
"addis.ababa","nefas.silk-lafto","me-enigna","urban","m",8
"addis.ababa","nefas.silk-lafto","messengogna","urban","m",68
"addis.ababa","nefas.silk-lafto","mejengerigna","urban","m",0
"addis.ababa","nefas.silk-lafto","mossigna","urban","m",19
"addis.ababa","nefas.silk-lafto","mursygna","urban","m",1
"addis.ababa","nefas.silk-lafto","murlegna","urban","m",7
"addis.ababa","nefas.silk-lafto","naogna","urban","m",7
"addis.ababa","nefas.silk-lafto","nuwerigna","urban","m",27
"addis.ababa","nefas.silk-lafto","nyangatomigna","urban","m",13
"addis.ababa","nefas.silk-lafto","oromigna","urban","m",19036
"addis.ababa","nefas.silk-lafto","oydigna","urban","m",71
"addis.ababa","nefas.silk-lafto","qebenigna","urban","m",18
"addis.ababa","nefas.silk-lafto","qechemigna","urban","m",118
"addis.ababa","nefas.silk-lafto","qewamigna","urban","m",0
"addis.ababa","nefas.silk-lafto","shekacho","urban","m",6
"addis.ababa","nefas.silk-lafto","shekogna","urban","m",3
"addis.ababa","nefas.silk-lafto","shinashigna","urban","m",6
"addis.ababa","nefas.silk-lafto","sidamigna","urban","m",121
"addis.ababa","nefas.silk-lafto","shitagna","urban","m",2578
"addis.ababa","nefas.silk-lafto","somaligna","urban","m",919
"addis.ababa","nefas.silk-lafto","surmagna","urban","m",9
"addis.ababa","nefas.silk-lafto","shegna","urban","m",16
"addis.ababa","nefas.silk-lafto","shetagna","urban","m",0
"addis.ababa","nefas.silk-lafto","tigrigna","urban","m",7931
"addis.ababa","nefas.silk-lafto","tembarogna","urban","m",6
"addis.ababa","nefas.silk-lafto","tsemayigna","urban","m",1
"addis.ababa","nefas.silk-lafto","upo","urban","m",5
"addis.ababa","nefas.silk-lafto","welaitigna","urban","m",1048
"addis.ababa","nefas.silk-lafto","wergigna","urban","m",25
"addis.ababa","nefas.silk-lafto","yemsagna","urban","m",18
"addis.ababa","nefas.silk-lafto","zeysegna","urban","m",10
"addis.ababa","nefas.silk-lafto","zlmamigna","urban","m",2
"addis.ababa","nefas.silk-lafto","other.ethiopian.languages","urban","m",612
"addis.ababa","nefas.silk-lafto","english","urban","m",41
"addis.ababa","nefas.silk-lafto","other.foreign.languages","urban","m",522
"addis.ababa","kolfe.keraniyo","affarigna","urban","m",96
"addis.ababa","kolfe.keraniyo","agew-awinigigna","urban","m",158
"addis.ababa","kolfe.keraniyo","agew-kamyrnya","urban","m",294
"addis.ababa","kolfe.keraniyo","alabigna","urban","m",268
"addis.ababa","kolfe.keraniyo","amarigna","urban","m",128587
"addis.ababa","kolfe.keraniyo","anyiwakgna","urban","m",227
"addis.ababa","kolfe.keraniyo","argobigna","urban","m",203
"addis.ababa","kolfe.keraniyo","arigna","urban","m",36
"addis.ababa","kolfe.keraniyo","arborigna","urban","m",13
"addis.ababa","kolfe.keraniyo","bachagna","urban","m",2
"addis.ababa","kolfe.keraniyo","basketigna","urban","m",5
"addis.ababa","kolfe.keraniyo","benchigna","urban","m",7
"addis.ababa","kolfe.keraniyo","bertagna","urban","m",44
"addis.ababa","kolfe.keraniyo","bodigna","urban","m",6
"addis.ababa","kolfe.keraniyo","brayligna","urban","m",17
"addis.ababa","kolfe.keraniyo","burjigna","urban","m",8
"addis.ababa","kolfe.keraniyo","benagna","urban","m",2
"addis.ababa","kolfe.keraniyo","charigna","urban","m",7
"addis.ababa","kolfe.keraniyo","dasenechgna","urban","m",5
"addis.ababa","kolfe.keraniyo","dawurogna","urban","m",91
"addis.ababa","kolfe.keraniyo","debosgna","urban","m",13
"addis.ababa","kolfe.keraniyo","derashigna","urban","m",8
"addis.ababa","kolfe.keraniyo","dimegna","urban","m",1
"addis.ababa","kolfe.keraniyo","dizigna","urban","m",8
"addis.ababa","kolfe.keraniyo","dongigna","urban","m",14
"addis.ababa","kolfe.keraniyo","demegna","urban","m",28
"addis.ababa","kolfe.keraniyo","felashigna","urban","m",2
"addis.ababa","kolfe.keraniyo","fedashigna","urban","m",7
"addis.ababa","kolfe.keraniyo","gamogna","urban","m",4922
"addis.ababa","kolfe.keraniyo","gebatogna","urban","m",16
"addis.ababa","kolfe.keraniyo","gedeogna","urban","m",21
"addis.ababa","kolfe.keraniyo","gedichogna","urban","m",4
"addis.ababa","kolfe.keraniyo","gedoligna","urban","m",10
"addis.ababa","kolfe.keraniyo","goffigna","urban","m",47
"addis.ababa","kolfe.keraniyo","gumuzigna","urban","m",103
"addis.ababa","kolfe.keraniyo","guragiegna","urban","m",36154
"addis.ababa","kolfe.keraniyo","guagugna","urban","m",33
"addis.ababa","kolfe.keraniyo","hadiyigna","urban","m",1288
"addis.ababa","kolfe.keraniyo","hareriegna","urban","m",199
"addis.ababa","kolfe.keraniyo","hamerigna","urban","m",2
"addis.ababa","kolfe.keraniyo","irobigna","urban","m",4
"addis.ababa","kolfe.keraniyo","keffagna","urban","m",101
"addis.ababa","kolfe.keraniyo","kembatigna","urban","m",225
"addis.ababa","kolfe.keraniyo","kontigna","urban","m",4
"addis.ababa","kolfe.keraniyo","komigna","urban","m",3
"addis.ababa","kolfe.keraniyo","konsogna","urban","m",11
"addis.ababa","kolfe.keraniyo","koregna","urban","m",11
"addis.ababa","kolfe.keraniyo","koygogna","urban","m",2
"addis.ababa","kolfe.keraniyo","koyrigna","urban","m",28
"addis.ababa","kolfe.keraniyo","kunamigna","urban","m",24
"addis.ababa","kolfe.keraniyo","karogna","urban","m",2
"addis.ababa","kolfe.keraniyo","kusumegna","urban","m",4
"addis.ababa","kolfe.keraniyo","maliegna","urban","m",108
"addis.ababa","kolfe.keraniyo","maogna","urban","m",205
"addis.ababa","kolfe.keraniyo","marekogna","urban","m",112
"addis.ababa","kolfe.keraniyo","mashiligna","urban","m",27
"addis.ababa","kolfe.keraniyo","merigna","urban","m",18
"addis.ababa","kolfe.keraniyo","me-enigna","urban","m",2
"addis.ababa","kolfe.keraniyo","messengogna","urban","m",75
"addis.ababa","kolfe.keraniyo","mejengerigna","urban","m",0
"addis.ababa","kolfe.keraniyo","mossigna","urban","m",40
"addis.ababa","kolfe.keraniyo","mursygna","urban","m",3
"addis.ababa","kolfe.keraniyo","murlegna","urban","m",17
"addis.ababa","kolfe.keraniyo","naogna","urban","m",9
"addis.ababa","kolfe.keraniyo","nuwerigna","urban","m",62
"addis.ababa","kolfe.keraniyo","nyangatomigna","urban","m",14
"addis.ababa","kolfe.keraniyo","oromigna","urban","m",18746
"addis.ababa","kolfe.keraniyo","oydigna","urban","m",116
"addis.ababa","kolfe.keraniyo","qebenigna","urban","m",93
"addis.ababa","kolfe.keraniyo","qechemigna","urban","m",8
"addis.ababa","kolfe.keraniyo","qewamigna","urban","m",0
"addis.ababa","kolfe.keraniyo","shekacho","urban","m",11
"addis.ababa","kolfe.keraniyo","shekogna","urban","m",8
"addis.ababa","kolfe.keraniyo","shinashigna","urban","m",13
"addis.ababa","kolfe.keraniyo","sidamigna","urban","m",89
"addis.ababa","kolfe.keraniyo","shitagna","urban","m",9401
"addis.ababa","kolfe.keraniyo","somaligna","urban","m",72
"addis.ababa","kolfe.keraniyo","surmagna","urban","m",23
"addis.ababa","kolfe.keraniyo","shegna","urban","m",44
"addis.ababa","kolfe.keraniyo","shetagna","urban","m",0
"addis.ababa","kolfe.keraniyo","tigrigna","urban","m",3297
"addis.ababa","kolfe.keraniyo","tembarogna","urban","m",14
"addis.ababa","kolfe.keraniyo","tsemayigna","urban","m",3
"addis.ababa","kolfe.keraniyo","upo","urban","m",4
"addis.ababa","kolfe.keraniyo","welaitigna","urban","m",1074
"addis.ababa","kolfe.keraniyo","wergigna","urban","m",32
"addis.ababa","kolfe.keraniyo","yemsagna","urban","m",40
"addis.ababa","kolfe.keraniyo","zeysegna","urban","m",19
"addis.ababa","kolfe.keraniyo","zlmamigna","urban","m",1
"addis.ababa","kolfe.keraniyo","other.ethiopian.languages","urban","m",343
"addis.ababa","kolfe.keraniyo","english","urban","m",17
